Label
> $50 Billion
$25-50 Billion
$15-25 Billion
$10-15 Billion
$7.5-10 Billion
$7-7.5 Billion
$5-7 Billion
$2.5-5 Billion
$2-2.5 Billion
$1.5-2 Billion
$750-1.5 Billion
$500-750 Million
$400-500 Million
< $400 Million
